Parameter,NC,C,d,ttest,SW,Wilx
"belief_cook","0.252 (0.174)","0.125 (0.123)","0.885","0.063   ","<0.01","0.011** "
"belief_check","0.510 (0.201)","0.471 (0.239)","0.264","0.449   ","n.s.","0.365   "
"belief_wash","0.789 (0.175)","0.739 (0.228)","0.196","0.416   ","<0.01","0.457   "
"belief_median","0.430 (0.194)","0.430 (0.261)","0.084","0.497   ","n.s.","0.473   "
