Parameter,NC,C,d,ttest,SW,Wilx
"belief_cook","0.322 (0.242)","0.148 (0.162)","0.831","0.057   ","0.02","0.014*  "
"belief_check","0.497 (0.209)","0.464 (0.234)","0.245","0.482   ","NaN","1.000   "
"belief_wash","0.718 (0.217)","0.391 (0.206)","1.589","0.001***","n.s.","<0.001***"
"belief_median","0.493 (0.238)","0.276 (0.191)","1.010","0.029*  ","n.s.","0.004** "
